C,gamma,accuracy,comp time
0.001,1.0,39.4078947368421,29.321726322174072
0.001,10.0,39.4078947368421,47.90067076683045
0.001,100.0,39.4078947368421,26.352776050567627
0.001,0.1,39.4078947368421,28.40589547157288
0.1,0.0003245699448231,39.4078947368421,23.312766313552856
0.01,0.0003245699448231,39.4078947368421,25.7855920791626
0.001,0.0003245699448231,39.4078947368421,26.04584527015686
0.01,0.01,39.4078947368421,23.72652554512024
0.01,1.0,39.4078947368421,30.30599045753479
0.01,0.5,39.4078947368421,28.143214464187626
1.0,100.0,39.4078947368421,21.27692484855652
0.01,10.0,39.4078947368421,52.24422979354858
0.01,100.0,39.4078947368421,26.750272035598755
0.001,0.01,39.4078947368421,30.888747215271
0.1,0.5,39.4078947368421,28.347318649291992
0.1,1.0,39.4078947368421,30.70582151412964
0.1,10.0,39.4078947368421,44.838106632232666
0.1,100.0,39.4078947368421,26.371947050094604
0.01,0.01,39.4078947368421,26.553597688674927
0.001,0.01,39.4078947368421,23.160750150680546
