kernel,C,gamma,accuracy,comp time
polynomial,0.01,0.5,91.1842105263158,37.36606001853943
polynomial,0.01,1.0,92.03947368421052,40.81740713119507
polynomial,0.01,10.0,87.69736842105263,44.38874650001526
polynomial,0.01,100.0,85.52631578947368,55.99399018287659
polynomial,0.1,0.01,40.46052631578947,33.018460750579834
polynomial,0.1,0.1,86.11842105263158,38.94692349433899
polynomial,0.1,0.5,91.11842105263158,44.17631793022156
polynomial,0.1,1.0,89.86842105263158,42.721863985061646
polynomial,0.1,10.0,87.4342105263158,47.29229378700256
polynomial,0.1,100.0,84.53947368421052,59.03884482383728
polynomial,1.0,0.01,46.776315789473685,32.45728802680969
polynomial,1.0,0.1,92.03947368421052,36.87465000152588
polynomial,1.0,0.5,88.42105263157895,44.09698438644409
polynomial,1.0,1.0,87.69736842105263,40.7703812122345
polynomial,1.0,10.0,85.52631578947368,51.21515488624573
polynomial,1.0,100.0,83.6842105263158,67.78300452232361
polynomial,10.0,0.01,86.11842105263158,33.60411190986633
polynomial,10.0,0.1,89.86842105263158,39.006601333618164
polynomial,10.0,0.5,87.76315789473684,42.141605615615845
polynomial,10.0,1.0,87.4342105263158,49.39199686050415
polynomial,10.0,10.0,84.53947368421052,46.74038243293762
polynomial,10.0,100.0,84.60526315789474,57.73577857017517
polynomial,100.0,0.01,92.03947368421052,43.55315375328064
polynomial,100.0,0.1,87.69736842105263,40.57485246658325
polynomial,100.0,0.5,87.5657894736842,44.87707448005676
polynomial,100.0,1.0,85.52631578947368,44.86614727973938
polynomial,100.0,10.0,83.6842105263158,49.34073042869568
polynomial,100.0,100.0,83.09210526315789,61.65523934364319
polynomial,1000.0,0.01,89.86842105263158,45.027515172958374
polynomial,1000.0,0.1,87.4342105263158,48.71454834938049
polynomial,1000.0,0.5,85.13157894736842,47.774665117263794
polynomial,1000.0,1.0,84.53947368421052,57.357810258865356
polynomial,1000.0,10.0,84.60526315789474,54.020275831222534
polynomial,1000.0,100.0,83.48684210526316,61.40234875679016
polynomial,10000.0,0.01,87.69736842105263,46.39278292655945
polynomial,10000.0,0.1,85.52631578947368,51.19949460029602
polynomial,10000.0,0.5,83.42105263157895,59.11067223548889
polynomial,10000.0,1.0,83.6842105263158,54.07829976081848
polynomial,10000.0,10.0,83.09210526315789,65.14094710350037
polynomial,10000.0,100.0,83.28947368421052,84.97580933570862
polynomial,100000.0,0.01,87.4342105263158,54.297608852386475
polynomial,100000.0,0.1,84.53947368421052,58.90609097480774
polynomial,100000.0,0.5,84.73684210526316,63.15427613258362
polynomial,100000.0,1.0,84.60526315789474,56.84238409996033
polynomial,100000.0,10.0,83.48684210526316,84.42454099655151
polynomial,100000.0,100.0,83.09210526315789,59.23934245109558
linear,0.001,0.01,39.4078947368421,32.05959701538086
linear,0.001,0.1,40.0,28.52564764022827
linear,0.001,0.5,73.61842105263158,28.847934007644653
linear,0.001,1.0,86.11842105263158,28.4860622882843
linear,0.001,10.0,91.77631578947368,32.19965624809265
linear,0.001,100.0,92.76315789473684,36.71383285522461
linear,0.01,0.01,40.0,27.84360909461975
linear,0.01,0.1,86.51315789473684,28.56509041786194
linear,0.01,0.5,91.51315789473684,33.47460985183716
linear,0.01,1.0,91.77631578947368,38.76934838294983
linear,0.01,10.0,92.82894736842105,35.323845624923706
linear,0.01,100.0,92.96052631578948,46.716917991638184
linear,0.1,0.01,86.05263157894737,28.876294374465942
linear,0.1,0.1,91.77631578947368,30.265075206756592
linear,0.1,0.5,92.4342105263158,35.20650768280029
linear,0.1,1.0,92.76315789473684,35.2049617767334
linear,0.1,10.0,92.96052631578948,42.100417375564575
linear,0.1,100.0,92.76315789473684,53.198904275894165
linear,1.0,0.01,91.77631578947368,30.378167152404785
