,Unnamed: 0,kernel,C,gamma,accuracy,comp time
32,32,gaussian,100.0,0.5,82.48847926267281,35.936761140823364
38,38,gaussian,1000.0,0.5,82.48847926267281,36.70225381851196
50,50,gaussian,100000.0,0.5,82.35681369321922,41.52874970436096
44,44,gaussian,10000.0,0.5,81.96181698485846,39.82880425453186
67,67,polynomial,0.1,0.1,81.76431863067808,32.533546686172485
57,57,polynomial,0.001,1.0,81.76431863067808,34.18083572387695
78,78,polynomial,10.0,0.01,81.76431863067808,26.80251669883728
111,111,linear,0.001,1.0,81.69848584595128,28.41916346549988
120,120,linear,0.1,0.01,81.23765635286372,31.025357723236084
115,115,linear,0.01,0.1,81.23765635286372,28.09025526046753
12,12,gaussian,0.1,0.01,80.77682685977616,22.65536093711853
27,27,gaussian,10.0,1.0,79.92100065832784,28.104427814483643
33,33,gaussian,100.0,1.0,79.78933508887425,30.611088752746586
45,45,gaussian,10000.0,1.0,79.65766951942066,40.87913632392883
51,51,gaussian,100000.0,1.0,79.59183673469387,39.44107818603516
39,39,gaussian,1000.0,1.0,79.52600394996708,36.64808106422424
28,28,gaussian,10.0,10.0,75.90520078999342,50.60261917114258
34,34,gaussian,100.0,10.0,75.51020408163265,58.13678312301636
40,40,gaussian,1000.0,10.0,75.51020408163265,58.49463081359863
52,52,gaussian,100000.0,10.0,75.31270572745227,67.2975766658783
46,46,gaussian,10000.0,10.0,75.24687294272547,62.78331518173218
35,35,gaussian,100.0,100.0,73.66688610928242,29.091374158859253
41,41,gaussian,1000.0,100.0,73.33772218564846,29.9144823551178
47,47,gaussian,10000.0,100.0,72.8768926925609,37.47995090484619
53,53,gaussian,100000.0,100.0,72.8768926925609,41.22652244567871
20,20,gaussian,1.0,0.5,70.04608294930875,24.10172176361084
110,110,linear,0.001,0.5,65.43778801843318,25.620547771453857
21,21,gaussian,1.0,1.0,61.9486504279131,26.08700966835022
165,165,sigmoid,1.0,0.0003244646333549,53.52205398288348,19.65821099281311
56,56,polynomial,0.001,0.5,50.88874259381172,38.3623423576355
22,22,gaussian,1.0,10.0,48.25543120473996,47.541417360305786
23,23,gaussian,1.0,100.0,48.05793285055958,23.205148458480835
29,29,gaussian,10.0,100.0,47.59710335747202,25.020994424819943
72,72,polynomial,1.0,0.01,44.89795918367347,26.720101833343502
61,61,polynomial,0.01,0.1,44.89795918367347,31.45684838294983
13,13,gaussian,0.1,0.1,42.65964450296247,32.62944221496582
55,55,polynomial,0.001,0.1,39.1705069124424,32.05488181114197
66,66,polynomial,0.1,0.01,39.1705069124424,28.36807608604431
114,114,linear,0.01,0.01,38.38051349572087,22.572221755981445
109,109,linear,0.001,0.1,38.38051349572087,22.45306134223938
163,163,sigmoid,0.01,0.0003244646333549,37.985516787360105,27.00122094154358
54,54,polynomial,0.001,0.01,37.985516787360105,35.7813241481781
6,6,gaussian,0.01,0.01,37.985516787360105,25.434491634368896
4,4,gaussian,0.001,10.0,37.985516787360105,50.356510639190674
164,164,sigmoid,0.1,0.0003244646333549,37.985516787360105,21.4580717086792
5,5,gaussian,0.001,100.0,37.985516787360105,25.968746662139893
8,8,gaussian,0.01,0.5,37.985516787360105,29.71751356124878
3,3,gaussian,0.001,1.0,37.985516787360105,29.066774368286133
2,2,gaussian,0.001,0.5,37.985516787360105,27.302149534225464
7,7,gaussian,0.01,0.1,37.985516787360105,32.60773515701294
9,9,gaussian,0.01,1.0,37.985516787360105,28.9697368144989
162,162,sigmoid,0.001,0.0003244646333549,37.985516787360105,25.4540376663208
10,10,gaussian,0.01,10.0,37.985516787360105,50.4242115020752
11,11,gaussian,0.01,100.0,37.985516787360105,24.4808611869812
14,14,gaussian,0.1,0.5,37.985516787360105,27.893934965133667
15,15,gaussian,0.1,1.0,37.985516787360105,26.185945510864254
16,16,gaussian,0.1,10.0,37.985516787360105,48.10779547691345
17,17,gaussian,0.1,100.0,37.985516787360105,26.11839461326599
60,60,polynomial,0.01,0.01,37.985516787360105,30.001757621765137
108,108,linear,0.001,0.01,37.985516787360105,25.72654604911804
1,1,gaussian,0.001,0.1,37.985516787360105,28.45080542564392
0,0,gaussian,0.001,0.01,37.985516787360105,28.579797744750977
